name,address,city,state,zip,latitude,longitude,website,top10perc,top25perc,sfratio,enrolled_total,average_tuition,perc_fresh_sat_scores,perc_fresh_act_scores,instate_price,outstate_price,gradrate_bachelor_four_years,gradrate_bachelor_five_years,gradrate_bachelor_six_years,perc_fresh_financialaid,undergraduate_enrollment,ft_enrollment,pt_enrollment,perc_americanindian_or_alaskanative_undergrad,perc_asian_undergrad,perc_blackafricanamerican_undergrad,perc_hispaniclatino_undergrad,perc_nativehawaiian_or_otherpacificislander_undergrad,perc_white_undergrad,perc_multiracial_undergrad,perc_raceunknown_undergrad,perc_nonresidentalien_undergrad,perc_asiannativehawaiianpacificislander_undergrad,perc_women_undergrad,far_west_region,great_lakes_region,mid_east_region,new_england_region,plains_region,rocky_mountains_region,southeast_region,southwest_region,us_service_schools_region,cluster
Farmingdale State College,2350 Broadhollow Road,Farmingdale,NY,11735,40.75408,-73.426371,www.farmingdale.edu,,,,1190.0,6.61375,93.0,19.0,22185.0,31635.0,21.0,41.0,43.0,68.0,8162.0,6074.0,2088.0,0,7.0,10.0,15.0,0.0,61.0,2.0,1.0,3.0,8.0,42.0,0,0,1,0,0,0,0,0,0,1
Fayetteville State University,1200 Murchison Rd,Fayetteville,NC,28301,35.072485,-78.894709,www.uncfsu.edu,1,16,15.1,612.0,4.1285,89.0,7.0,14854.0,25650.0,12.0,27.0,32.0,96.0,5410.0,4325.0,1854.0,2,1.0,66.0,6.0,0.0,16.0,1.0,6.0,1.0,1.0,69.0,0,0,0,0,0,0,1,0,0,1
Felician College,262 S Main St,Lodi,NJ,7644,40.867272,-74.096452,www.felician.edu,,,,153.0,28.47375,90.0,8.0,45800.0,45800.0,24.0,43.0,46.0,100.0,1621.0,1374.0,559.0,1,8.0,20.0,24.0,1.0,38.0,2.0,4.0,2.0,9.0,72.0,0,0,1,0,0,0,0,0,0,0
Ferris State University,1201 S State St,Big Rapids,MI,49307,43.687632,-85.481737,www.ferris.edu/,,,,2006.0,10.171,0.0,97.0,21878.0,28134.0,23.0,42.0,49.0,96.0,13477.0,10066.0,4641.0,1,1.0,7.0,4.0,0.0,79.0,3.0,3.0,3.0,1.0,52.0,0,1,0,0,0,0,0,0,0,1
Fisher College,118 Beacon Street,Boston,MA,2116,42.355253,-71.074125,www.fisher.edu,,,,239.0,26.182,69.0,5.0,46840.0,46840.0,4.0,4.0,40.0,86.0,1930.0,1229.0,701.0,0,1.0,9.0,8.0,0.0,33.0,1.0,42.0,6.0,2.0,74.0,0,0,0,1,0,0,0,0,0,0
Fisk University,1000 17Th Ave North,Nashville,TN,37208,36.16912,-86.805671,www.fisk.edu,,,,226.0,19.56775,43.0,62.0,35899.0,35899.0,41.0,49.0,52.0,98.0,611.0,612.0,34.0,0,1.0,87.0,1.0,0.0,1.0,1.0,9.0,0.0,1.0,66.0,0,0,0,0,0,0,1,0,0,0
Fitchburg State University,160 Pearl St,Fitchburg,MA,1420,42.589345,-71.789354,www.fitchburgstate.edu,,,,759.0,8.44875,96.0,9.0,20690.0,26770.0,20.0,44.0,50.0,90.0,4245.0,3632.0,3048.0,0,2.0,5.0,9.0,0.0,76.0,2.0,5.0,1.0,2.0,56.0,0,0,0,1,0,0,0,0,0,1
Florida Agricultural And Mechanical University,1500 S Martin Luther King Jr Blvd,Tallahassee,FL,32307,30.427513,-84.288441,www.famu.edu,,,,1145.0,5.348,27.0,73.0,19545.0,31485.0,12.0,29.0,41.0,95.0,8930.0,9597.0,1146.0,0,1.0,94.0,1.0,0.0,3.0,0.0,0.0,1.0,1.0,61.0,0,0,0,0,0,0,1,0,0,1
Florida Atlantic University,777 Glades Rd,Boca Raton,FL,33431,26.372421,-80.102978,www.fau.edu/,,,,3479.0,4.4195,62.0,38.0,21583.0,34027.0,15.0,33.0,41.0,87.0,25790.0,17779.0,12980.0,0,4.0,18.0,25.0,0.0,47.0,3.0,1.0,2.0,4.0,56.0,0,0,0,0,0,0,1,0,0,3
Florida College,119 N Glen Arven Ave,Temple Terrace,FL,33617,28.034911,-82.383446,www.floridacollege.edu,,,,196.0,13.46,47.0,69.0,26750.0,26750.0,9.0,9.0,9.0,94.0,558.0,533.0,25.0,2,1.0,6.0,6.0,0.0,80.0,5.0,0.0,1.0,1.0,50.0,0,0,0,0,0,0,1,0,0,1
Florida Gulf Coast University,10501 Fgcu Blvd S,Fort Myers,FL,33965,26.464338,-81.774235,www.fgcu.edu,,,,2761.0,5.67725,83.0,67.0,19102.0,38424.0,22.0,38.0,44.0,81.0,12907.0,10539.0,3538.0,0,2.0,7.0,19.0,0.0,67.0,2.0,1.0,2.0,2.0,56.0,0,0,0,0,0,0,1,0,0,1
Florida Institute Of Technology,150 West University Boulevard,Melbourne,FL,32901,28.064503,-80.624628,www.fit.edu,39,74,10.6,783.0,34.831,53.0,38.0,52690.0,52690.0,39.0,52.0,54.0,95.0,3257.0,4138.0,1506.0,0,2.0,5.0,6.0,0.0,42.0,2.0,12.0,31.0,2.0,27.0,0,0,0,0,0,0,1,0,0,2
Florida International University,11200 S. W. 8 Street,Miami,FL,33199,25.757111,-80.377591,www.fiu.edu,42,89,13.9,2990.0,5.92325,70.0,30.0,22968.0,35367.0,20.0,41.0,52.0,91.0,39142.0,31932.0,15731.0,0,3.0,12.0,67.0,0.0,10.0,2.0,1.0,5.0,3.0,55.0,0,0,0,0,0,0,1,0,0,3
Florida Southern College,111 Lake Hollingsworth Dr,Lakeland,FL,33801,28.031676,-81.945903,www.flsouthern.edu,20,44,17.4,635.0,26.6385,82.0,60.0,40700.0,40700.0,47.0,57.0,58.0,99.0,2416.0,2283.0,336.0,0,2.0,6.0,9.0,0.0,72.0,4.0,1.0,5.0,2.0,61.0,0,0,0,0,0,0,1,0,0,0
Florida State University,222 S. Copeland Street,Tallahassee,FL,32306,30.443222,-84.301554,www.fsu.edu,50,90,23.1,6048.0,5.99325,44.0,56.0,21543.0,36709.0,57.0,74.0,77.0,95.0,32528.0,34882.0,6027.0,0,3.0,9.0,17.0,0.0,66.0,2.0,1.0,1.0,3.0,55.0,0,0,0,0,0,0,1,0,0,3
Fontbonne University,6800 Wydown Blvd,Saint Louis,MO,63105,38.642697,-90.315712,www.fontbonne.edu,,,,160.0,21.376,8.0,89.0,33896.0,33896.0,3.0,19.0,41.0,92.0,1328.0,1192.0,805.0,0,1.0,17.0,2.0,0.0,66.0,1.0,2.0,12.0,1.0,67.0,0,0,0,0,1,0,0,0,0,0
Fordham University,441 E Fordham Rd,Bronx,NY,10458,40.861412,-73.889899,www.fordham.edu,30,55,14.4,1967.0,41.21325,82.0,34.0,63438.0,63438.0,76.0,80.0,81.0,92.0,8345.0,12015.0,3082.0,0,9.0,4.0,14.0,0.0,61.0,3.0,3.0,6.0,9.0,54.0,0,0,1,0,0,0,0,0,0,2
Fort Hays State University,600 Park St,Hays,KS,67601,38.872436,-99.340493,www.fhsu.edu,,,,1063.0,4.1755,0.0,84.0,16410.0,24873.0,19.0,39.0,44.0,97.0,11433.0,5999.0,7442.0,0,1.0,4.0,5.0,0.0,56.0,2.0,1.0,31.0,1.0,59.0,0,0,0,0,1,0,0,0,0,1
Fort Lewis College,1000 Rim Drive,Durango,CO,81301,37.275428,-107.867003,fortlewis.edu/,16,35,19.1,876.0,5.97525,23.0,87.0,22393.0,33233.0,17.0,33.0,37.0,91.0,3984.0,3670.0,351.0,22,1.0,1.0,9.0,0.0,57.0,6.0,3.0,2.0,1.0,49.0,0,0,0,0,0,1,0,0,0,1
Fort Valley State University,1005 State University Dr,Fort Valley,GA,31030,32.538163,-83.895548,www.fvsu.edu,,,,624.0,6.0525,63.0,50.0,20725.0,32927.0,8.0,22.0,30.0,97.0,2858.0,2695.0,485.0,0,0.0,97.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,57.0,0,0,0,0,0,0,1,0,0,1
Framingham State University,100 State Street,Framingham,MA,1701,42.297289,-71.437175,www.framingham.edu,,,,826.0,7.70125,98.0,2.0,22804.0,28884.0,33.0,47.0,51.0,93.0,4584.0,3982.0,2447.0,0,2.0,8.0,9.0,0.0,76.0,3.0,2.0,0.0,2.0,63.0,0,0,0,1,0,0,0,0,0,1
Franciscan University Of Steubenville,1235 University Blvd,Steubenville,OH,43952,40.376086,-80.623094,www.franciscan.edu,22,49,14.9,460.0,21.72,51.0,53.0,34490.0,34490.0,61.0,69.0,71.0,97.0,2112.0,2148.0,585.0,0,2.0,0.0,10.0,0.0,80.0,2.0,5.0,1.0,2.0,62.0,0,1,0,0,0,0,0,0,0,0
Francis Marion University,4822 East Palmetto Street,Florence,SC,29506,34.192348,-79.654387,www.fmarion.edu,13,38,19.1,744.0,8.9335,49.0,47.0,20923.0,29901.0,16.0,34.0,41.0,99.0,3714.0,3388.0,670.0,0,1.0,49.0,1.0,0.0,46.0,0.0,1.0,1.0,1.0,69.0,0,0,0,0,0,0,1,0,0,1
Franklin College,5700 Cromo,El Paso,TX,79912,31.81416,-106.538152,www.franklin-college.edu/index.php/en/,29,72,12.5,296.0,26.2775,88.0,52.0,40035.0,40035.0,53.0,57.0,57.0,100.0,1014.0,952.0,62.0,0,0.0,4.0,1.0,0.0,84.0,3.0,5.0,1.0,0.0,50.0,0,1,0,0,0,0,0,0,0,0
Franklin Pierce University,40 University Drive,Rindge,NH,3461,42.783919,-72.05699,www.franklinpierce.edu,,,,538.0,29.8,95.0,6.0,45898.0,45898.0,39.0,44.0,44.0,100.0,1671.0,1809.0,395.0,0,1.0,4.0,5.0,0.0,74.0,2.0,13.0,2.0,1.0,56.0,0,0,0,1,0,0,0,0,0,0
Freed-Hardeman University,158 E Main St,Henderson,TN,38340,35.440073,-88.639418,www.fhu.edu,20,54,16.1,356.0,18.48475,16.0,94.0,32908.0,32908.0,38.0,50.0,52.0,100.0,1385.0,1363.0,448.0,0,0.0,5.0,1.0,0.0,86.0,2.0,3.0,2.0,0.0,58.0,0,0,0,0,0,0,1,0,0,0
Fresno Pacific University,1717 S Chestnut Ave,Fresno,CA,93702,36.726017,-119.732643,www.fresno.edu,,,,212.0,24.9365,98.0,39.0,36991.0,36991.0,43.0,53.0,54.0,99.0,2586.0,2423.0,970.0,1,4.0,5.0,40.0,0.0,39.0,2.0,7.0,2.0,4.0,68.0,1,0,0,0,0,0,0,0,0,0
Friends University,2100 W. University Ave.,Wichita,KS,67213,37.678455,-97.36704,www.friends.edu,,,,184.0,21.75,14.0,80.0,36005.0,36005.0,13.0,32.0,32.0,100.0,1609.0,1206.0,972.0,2,2.0,10.0,4.0,0.0,72.0,6.0,4.0,0.0,3.0,56.0,0,0,0,0,1,0,0,0,0,0
Frostburg State University,101 Braddock Road,Frostburg,MD,21532,39.651509,-78.933871,www.frostburg.edu,,,,895.0,7.299,92.0,17.0,20046.0,30694.0,22.0,41.0,47.0,83.0,4703.0,4408.0,1065.0,0,1.0,27.0,4.0,0.0,60.0,4.0,1.0,2.0,1.0,49.0,0,0,1,0,0,0,0,0,0,1
Furman University,3300 Poinsett Highway,Greenville,SC,29613,34.924726,-82.439303,www.furman.edu,56,82,13.5,759.0,40.586,65.0,53.0,57276.0,57276.0,80.0,84.0,84.0,86.0,2797.0,2722.0,231.0,0,2.0,5.0,3.0,0.0,80.0,2.0,3.0,4.0,2.0,57.0,0,0,0,0,0,0,1,0,0,2
Gallaudet University,"800 Florida Ave, Ne",Washington,DC,20002,38.907371,-76.993675,www.gallaudet.edu,,,,201.0,12.4545,12.0,95.0,31988.0,31988.0,16.0,42.0,48.0,88.0,1077.0,1367.0,194.0,0,4.0,11.0,14.0,0.0,60.0,3.0,0.0,7.0,4.0,54.0,0,0,1,0,0,0,0,0,0,0
Gannon University,109 W Sixth St,Erie,PA,16541,42.128243,-80.086619,www.gannon.edu,24,57,13.3,622.0,26.044,82.0,38.0,41820.0,41820.0,48.0,62.0,64.0,100.0,3111.0,3111.0,1100.0,0,2.0,4.0,2.0,0.0,82.0,1.0,2.0,6.0,2.0,57.0,0,0,1,0,0,0,0,0,0,0
Gardner-Webb University,Main St,Boiling Springs,NC,28017,35.24732,-81.668141,www.gardner-webb.edu,,,,435.0,24.05,77.0,51.0,37620.0,37620.0,43.0,55.0,55.0,100.0,2587.0,2784.0,1872.0,1,1.0,16.0,2.0,0.0,68.0,0.0,10.0,2.0,1.0,65.0,0,0,0,0,0,0,1,0,0,0
Geneva College,3200 College Ave,Beaver Falls,PA,15010,40.772204,-80.321051,www.geneva.edu,19,39,20.1,334.0,23.8165,85.0,37.0,36520.0,36520.0,59.0,66.0,67.0,100.0,1541.0,1669.0,183.0,0,1.0,6.0,1.0,0.0,89.0,2.0,0.0,1.0,1.0,52.0,0,0,1,0,0,0,0,0,0,0
George Fox University,414 N Meridian St,Newberg,OR,97132,45.303062,-122.967466,www.georgefox.edu,,,,624.0,29.675,83.0,39.0,43800.0,43800.0,52.0,61.0,62.0,99.0,2384.0,2493.0,1219.0,0,4.0,2.0,7.0,0.0,70.0,5.0,5.0,6.0,4.0,57.0,1,0,0,0,0,0,0,0,0,0
George Mason University,4400 University Dr,Fairfax,VA,22030,38.83088,-77.30794,www.gmu.edu,17,29,19.3,3011.0,9.3695,75.0,13.0,25335.0,44019.0,43.0,61.0,67.0,66.0,21990.0,21421.0,12496.0,0,18.0,10.0,11.0,0.0,46.0,5.0,6.0,4.0,18.0,52.0,0,0,0,0,0,0,1,0,0,3
Georgetown College,400 East College Street,Georgetown,KY,40324,38.207486,-84.554681,www.georgetowncollege.edu,30,55,13.3,238.0,30.005,8.0,95.0,44110.0,44110.0,49.0,51.0,57.0,98.0,1043.0,1017.0,382.0,0,1.0,10.0,3.0,0.0,76.0,2.0,6.0,2.0,1.0,54.0,0,0,0,0,0,0,1,0,0,0
Georgetown University,37Th And O St Nw,Washington,DC,20057,38.908809,-77.073463,www.georgetown.edu,71,93,7.2,1570.0,42.31775,87.0,35.0,62179.0,62179.0,88.0,91.0,92.0,53.0,7636.0,14407.0,3442.0,0,9.0,6.0,8.0,0.0,57.0,4.0,4.0,13.0,9.0,55.0,0,0,1,0,0,0,0,0,0,2
George Washington University,"2121 I Street, Nw",Washington,DC,20052,38.899096,-77.046277,www.gwu.edu,38,71,7.6,2387.0,45.044,75.0,37.0,61446.0,61446.0,76.0,80.0,81.0,68.0,10357.0,17109.0,8155.0,0,9.0,7.0,7.0,0.0,60.0,3.0,4.0,9.0,9.0,55.0,0,0,1,0,0,0,0,0,0,2
Georgia Institute Of Technology-Main Campus,225 North Ave,Atlanta,GA,30332,33.773732,-84.396019,www.gatech.edu,,,,3044.0,9.779,88.0,53.0,23384.0,42688.0,41.0,76.0,82.0,72.0,14558.0,18743.0,2728.0,0,18.0,6.0,6.0,0.0,55.0,3.0,1.0,11.0,18.0,33.0,0,0,0,0,0,0,1,0,0,3
Georgian Court University,900 Lakewood Ave,Lakewood,NJ,8701,40.099677,-74.227463,www.georgian.edu,,,,275.0,27.9515,94.0,0.0,43276.0,43276.0,25.0,47.0,51.0,99.0,1567.0,1471.0,786.0,0,2.0,14.0,11.0,0.0,48.0,2.0,22.0,1.0,2.0,81.0,0,0,1,0,0,0,0,0,0,0
Georgia Southern University,"Brannen Hall, 2670 Southern Drive",Statesboro,GA,30460,32.419854,-81.779936,www.georgiasouthern.edu,,,,3604.0,5.706,75.0,52.0,22269.0,32335.0,26.0,45.0,50.0,89.0,17904.0,16767.0,3750.0,0,1.0,26.0,4.0,0.0,63.0,2.0,2.0,1.0,1.0,50.0,0,0,0,0,0,0,1,0,0,1
Georgia Southwestern State University,800 Georgia Southwestern State University Dr.,Americus,GA,31709,32.058198,-84.217755,gsw.edu/main/,,,,376.0,4.79725,68.0,31.0,19063.0,28825.0,15.0,30.0,36.0,91.0,2667.0,1946.0,860.0,0,1.0,29.0,3.0,0.0,62.0,1.0,0.0,2.0,1.0,64.0,0,0,0,0,0,0,1,0,0,1
Georgia State University,33 Gilmer St,Atlanta,GA,30303,33.7527,-84.38667,www.gsu.edu,9,24,19,3460.0,8.65825,86.0,45.0,24448.0,39016.0,21.0,44.0,53.0,91.0,24868.0,23677.0,8488.0,0,11.0,40.0,9.0,0.0,32.0,4.0,2.0,2.0,11.0,58.0,0,0,0,0,0,0,1,0,0,3
Gonzaga University,E 502 Boone Ave,Spokane,WA,99258,47.668144,-117.403062,www.gonzaga.edu,31,67,14.7,1096.0,32.96525,80.0,53.0,48530.0,48530.0,71.0,81.0,82.0,99.0,4896.0,5490.0,2115.0,1,4.0,1.0,8.0,0.0,73.0,6.0,4.0,3.0,4.0,54.0,1,0,0,0,0,0,0,0,0,2
Gordon College,255 Grapevine Rd,Wenham,MA,1984,42.588173,-70.819133,www.gordon.edu,25,54,14.2,481.0,31.3535,89.0,21.0,44860.0,44860.0,58.0,70.0,71.0,99.0,1710.0,1768.0,305.0,0,3.0,3.0,7.0,0.0,77.0,3.0,1.0,5.0,4.0,62.0,0,0,0,1,0,0,0,0,0,0
Goshen College,1700 S Main St,Goshen,IN,46526,41.561978,-85.824902,www.goshen.edu,26,51,9.9,167.0,26.4,68.0,38.0,40760.0,40760.0,54.0,68.0,70.0,100.0,828.0,760.0,128.0,0,1.0,4.0,11.0,0.0,72.0,3.0,1.0,8.0,1.0,57.0,0,1,0,0,0,0,0,0,0,0
Grace College And Theological Seminary,200 Seminary Dr,Winona Lake,IN,46590,41.226744,-85.812716,www.grace.edu,,,,347.0,22.8765,68.0,54.0,33940.0,33940.0,54.0,61.0,61.0,100.0,1615.0,1416.0,488.0,0,1.0,3.0,3.0,0.0,70.0,2.0,20.0,0.0,1.0,59.0,0,1,0,0,0,0,0,0,0,0
Graceland University-Lamoni,1 University Place,Lamoni,IA,50140,40.615966,-93.924893,www.graceland.edu,,,,326.0,22.245,25.0,75.0,35380.0,35380.0,30.0,44.0,47.0,100.0,1559.0,1650.0,636.0,1,1.0,9.0,7.0,1.0,67.0,4.0,5.0,6.0,2.0,57.0,0,0,0,0,1,0,0,0,0,0
Grace University,1311 S 9Th St,Omaha,NE,68108,41.244506,-95.928236,www.graceuniversity.edu,,,,96.0,17.014,14.0,82.0,28958.0,28958.0,23.0,30.0,48.0,100.0,410.0,372.0,109.0,1,3.0,9.0,10.0,0.0,75.0,0.0,1.0,0.0,3.0,52.0,0,0,0,0,1,0,0,0,0,0
Grambling State University,403 Main Street,Grambling,LA,71245,32.522702,-92.717367,www.gram.edu,,,,714.0,5.13425,17.0,86.0,22720.0,31888.0,7.0,24.0,31.0,96.0,4155.0,4325.0,746.0,0,0.0,91.0,1.0,0.0,1.0,1.0,0.0,5.0,0.0,60.0,0,0,0,0,0,0,1,0,0,1
Grand Valley State University,1 Campus Dr,Allendale,MI,49401,42.965208,-85.887519,www.gvsu.edu,20,60,20.6,4078.0,9.8995,3.0,98.0,22432.0,27104.0,33.0,63.0,70.0,88.0,21235.0,19853.0,4624.0,0,2.0,5.0,4.0,0.0,84.0,3.0,1.0,1.0,2.0,58.0,0,1,0,0,0,0,0,0,0,3
Grand View University,1200 Grandview Ave,Des Moines,IA,50316,41.620205,-93.602789,www.grandview.edu,,,,298.0,21.4235,8.0,94.0,33616.0,33616.0,28.0,44.0,48.0,100.0,2096.0,1728.0,401.0,0,3.0,8.0,3.0,0.0,73.0,3.0,8.0,2.0,3.0,58.0,0,0,0,0,1,0,0,0,0,0
Greensboro College,815 W Market St,Greensboro,NC,27401,36.071082,-79.800232,www.greensboro.edu,10,31,13,200.0,25.2365,83.0,43.0,39376.0,39376.0,15.0,28.0,31.0,100.0,974.0,781.0,231.0,1,1.0,28.0,2.0,0.0,53.0,3.0,12.0,0.0,1.0,51.0,0,0,0,0,0,0,1,0,0,0
Greenville College,315 E. College Ave,Greenville,IL,62246,38.895343,-89.408977,www.greenville.edu,20,46,14.3,277.0,22.4135,19.0,81.0,34641.0,34641.0,41.0,50.0,50.0,98.0,1129.0,1129.0,239.0,0,1.0,8.0,4.0,0.0,75.0,2.0,5.0,5.0,1.0,48.0,0,1,0,0,0,0,0,0,0,0
Grinnell College,1121 Park Street,Grinnell,IA,50112,41.746363,-92.721432,www.grinnell.edu,56,91,9.5,423.0,40.488,49.0,51.0,56354.0,56354.0,81.0,85.0,86.0,90.0,1721.0,1664.0,57.0,0,7.0,6.0,8.0,0.0,57.0,4.0,5.0,12.0,7.0,54.0,0,0,0,0,1,0,0,0,0,2
Guilford College,5800 W Friendly Avenue,Greensboro,NC,27410,36.092563,-79.888848,www.guilford.edu,18,44,15.6,407.0,30.77,65.0,28.0,45395.0,45395.0,49.0,55.0,57.0,99.0,2302.0,1928.0,374.0,0,3.0,24.0,5.0,0.0,61.0,3.0,1.0,2.0,3.0,56.0,0,0,0,0,0,0,1,0,0,0
Hamilton College,198 College Hill Rd,Clinton,NY,13323,43.054248,-75.407996,www.hamilton.edu,40,82,9.6,491.0,43.5875,58.0,25.0,59590.0,59590.0,90.0,92.0,93.0,58.0,1926.0,1905.0,21.0,0,7.0,4.0,8.0,0.0,62.0,3.0,12.0,5.0,7.0,51.0,0,0,1,0,0,0,0,0,0,2
Hamline University,1536 Hewitt Avenue,Saint Paul,MN,55104,44.965696,-93.163983,www.hamline.edu,34,73,13,536.0,32.83575,11.0,94.0,46398.0,46398.0,60.0,64.0,66.0,100.0,2164.0,2647.0,1934.0,1,6.0,6.0,6.0,0.0,71.0,5.0,3.0,2.0,6.0,58.0,0,0,0,0,1,0,0,0,0,0
Hampden-Sydney College,College Road,Hampden-Sydney,VA,23943,37.242482,-78.461371,www.hsc.edu,,,,293.0,34.82125,100.0,20.0,51577.0,51577.0,60.0,62.0,62.0,100.0,1070.0,1068.0,2.0,1,2.0,8.0,2.0,0.0,81.0,5.0,1.0,0.0,2.0,0.0,0,0,0,0,0,0,1,0,0,2
Hampton University,E Queen Street,Hampton,VA,23668,37.021502,-76.331933,www.hamptonu.edu,25,63,14,1004.0,19.3335,55.0,42.0,33854.0,33854.0,50.0,64.0,68.0,90.0,3742.0,4116.0,506.0,0,1.0,92.0,1.0,0.0,4.0,0.0,0.0,1.0,1.0,64.0,0,0,0,0,0,0,1,0,0,0
Hannibal-Lagrange University,2800 Palmyra Rd,Hannibal,MO,63401,39.730785,-91.391423,www.hlg.edu,,,,173.0,17.397,3.0,79.0,29258.0,29258.0,46.0,59.0,61.0,93.0,1198.0,883.0,346.0,1,1.0,3.0,1.0,0.0,84.0,2.0,1.0,8.0,1.0,58.0,0,0,0,0,1,0,0,0,0,0
Harding University,915 E. Market Ave.,Searcy,AR,72143,35.247345,-91.726034,www.harding.edu,35,75,17.7,1041.0,15.015,29.0,87.0,26634.0,26634.0,40.0,59.0,62.0,98.0,4428.0,4820.0,1418.0,1,1.0,4.0,3.0,0.0,83.0,1.0,0.0,7.0,1.0,54.0,0,0,0,0,0,0,1,0,0,1
Hardin-Simmons University,2200 Hickory,Abilene,TX,79698,32.476786,-99.733815,www.hsutx.edu,16,40,13.7,415.0,22.3675,64.0,68.0,33626.0,33626.0,34.0,50.0,51.0,98.0,1772.0,1792.0,428.0,0,3.0,6.0,14.0,0.0,70.0,2.0,2.0,2.0,3.0,52.0,0,0,0,0,0,0,0,1,0,0
Hartwick College,One Hartwick Drive,Oneonta,NY,13820,42.459178,-75.071684,www.hartwick.edu/x12933.xml,22,49,12.3,528.0,36.765,50.0,15.0,50815.0,50815.0,54.0,57.0,57.0,100.0,1618.0,1579.0,39.0,1,2.0,6.0,6.0,0.0,69.0,0.0,14.0,3.0,2.0,59.0,0,0,1,0,0,0,0,0,0,2
Harvard University,Massachusetts Hall,Cambridge,MA,2138,42.374172,-71.118234,www.harvard.edu,90,100,9.9,1659.0,40.131,86.0,38.0,59950.0,59950.0,87.0,95.0,97.0,75.0,10534.0,20370.0,7927.0,0,16.0,6.0,9.0,0.0,48.0,5.0,5.0,11.0,16.0,50.0,0,0,0,1,0,0,0,0,0,2
Harvey Mudd College,301 Platt Blvd.,Claremont,CA,91711,34.105717,-117.709758,www.hmc.edu,95,100,8.2,217.0,43.43775,89.0,41.0,63860.0,63860.0,86.0,89.0,91.0,75.0,807.0,805.0,2.0,0,22.0,1.0,9.0,0.0,47.0,4.0,5.0,11.0,22.0,46.0,1,0,0,0,0,0,0,0,0,2
Hastings College,710 N Turner Ave,Hastings,NE,68901,40.590448,-98.373641,www.hastings.edu,22,52,13,345.0,24.1935,7.0,99.0,37152.0,37152.0,43.0,56.0,58.0,100.0,1118.0,1076.0,68.0,1,2.0,3.0,5.0,1.0,85.0,2.0,1.0,1.0,2.0,49.0,0,0,0,0,1,0,0,0,0,0
Haverford College,370  Lancaster Ave,Haverford,PA,19041,40.013368,-75.302562,www.haverford.edu,,,,330.0,42.99,77.0,40.0,61898.0,61898.0,91.0,93.0,93.0,57.0,1187.0,1187.0,0.0,0,7.0,6.0,8.0,0.0,66.0,7.0,0.0,6.0,7.0,52.0,0,0,1,0,0,0,0,0,0,2
Hawaii Pacific University,"1164 Bishop Street, Suite 800",Honolulu,HI,96813,21.31041,-157.859513,www.hpu.edu,,,,591.0,17.8025,58.0,36.0,36590.0,36590.0,19.0,35.0,40.0,95.0,5582.0,4359.0,2377.0,0,17.0,5.0,13.0,2.0,28.0,18.0,4.0,12.0,19.0,56.0,1,0,0,0,0,0,0,0,0,0
Henderson State University,1100 Henderson Street,Arkadelphia,AR,71999,34.127792,-93.060313,www.hsu.edu,,,,704.0,7.1525,3.0,94.0,18934.0,25054.0,14.0,25.0,29.0,98.0,3199.0,2953.0,630.0,0,1.0,24.0,4.0,0.0,66.0,5.0,0.0,1.0,1.0,56.0,0,0,0,0,0,0,1,0,0,1
Hendrix College,1600 Washington Ave,Conway,AR,72032,35.09972,-92.442021,www.hendrix.edu,52,87,13.1,436.0,35.0715,45.0,82.0,52536.0,52536.0,63.0,68.0,70.0,100.0,1431.0,1434.0,10.0,2,5.0,4.0,5.0,0.0,71.0,2.0,7.0,4.0,5.0,55.0,0,0,0,0,0,0,1,0,0,2
Hiram College,Hinsdale Hall Third Floor,Hiram,OH,44234,41.310998,-81.141552,www.hiram.edu,37,66,10.6,290.0,29.14125,22.0,86.0,43145.0,43145.0,57.0,65.0,65.0,100.0,1283.0,1117.0,194.0,0,1.0,13.0,4.0,0.0,71.0,2.0,4.0,4.0,2.0,55.0,0,1,0,0,0,0,0,0,0,0
Hofstra University,100 Hofstra University,Hempstead,NY,11549,40.715959,-73.60078,www.hofstra.edu,25,63,13.9,1488.0,34.825,72.0,27.0,54289.0,54289.0,50.0,61.0,62.0,96.0,6826.0,9383.0,1545.0,0,8.0,9.0,13.0,1.0,58.0,3.0,6.0,3.0,9.0,53.0,0,0,1,0,0,0,0,0,0,2
Hollins University,7916 Williamson Rd Nw,Roanoke,VA,24020,37.354629,-79.942196,www.hollins.edu,,,,148.0,31.41875,81.0,47.0,48180.0,48180.0,56.0,59.0,60.0,100.0,580.0,616.0,134.0,0,3.0,10.0,6.0,0.0,71.0,3.0,3.0,5.0,3.0,99.0,0,0,0,0,0,0,1,0,0,0
Holy Cross College,54515 State Road 933 North,Notre Dame,IN,46556,41.699982,-86.253668,www.hcc-nd.edu,,,,157.0,23.2375,46.0,50.0,37484.0,37484.0,42.0,45.0,45.0,100.0,524.0,496.0,28.0,0,2.0,6.0,9.0,0.0,73.0,1.0,4.0,6.0,2.0,37.0,0,1,0,0,0,0,0,0,0,0
Holy Family University,9801 Frankford Avenue,Philadelphia,PA,19114,40.060581,-74.986451,www.holyfamily.edu,,,,297.0,25.2125,94.0,8.0,41960.0,41960.0,38.0,52.0,54.0,100.0,2182.0,1553.0,1403.0,0,4.0,7.0,6.0,0.0,52.0,0.0,31.0,0.0,4.0,74.0,0,0,1,0,0,0,0,0,0,0
