,NAME,ADDRESS,CITY,STATE,ZIP,TELEPHONE,TYPE,STATUS,POPULATION,COUNTY,COUNTRY,LATITUDE,LONGITUDE,WEBSITE
862,Newberry School of Beauty,16860 Devonshire Blvd,Granada Hills,CA,91344,(818) 366-3211,3,A,219,Los Angeles,US,34.256683,-118.499693,www.newberryschoolofbeauty.net
863,North Adrians Beauty College,124 Floyd Ave,Modesto,CA,95350,(209) 526-2040,3,A,313,Stanislaus,US,37.677778,-120.992753,www.adrians.edu
864,Coleman University,8888 Balboa Ave,San Diego,CA,92123,(858) 499-0202,2,A,1019,San Diego,US,32.821962,-117.136493,www.coleman.edu
865,North Orange County Community College District,1830 W. Romneya Drive,Anaheim,CA,92801,(714) 808-4500,1,A,88,Orange,US,33.849957,-117.945559,www.nocccd.edu
866,COBA Academy,102 N Glassell St,Orange,CA,92866,(714) 633-5950,3,A,60,Orange,US,33.788258,-117.85348,www.coba.edu
867,University of Phoenix-Indianapolis Campus,7999 Knue Rd,Indianapolis,IN,46250,(317) 585-8610,3,A,724,Marion,US,39.899315,-86.05945,www.phoenix.edu
868,Career Institute of Health and Technology,340 Flatbush Ave Ext-3rd Floor,Brooklyn,NY,11201,(718) 422-1212,3,A,132,Kings,US,40.691141,-73.982706,WWW.CAREERINSTITUTE.EDU
869,Dewey University,Barbosa Ave #427 3rd Floor - Malco Bldg,Hato Rey,PR,910,(787) 753-0039 ext 0,2,A,2554,San Juan,PR,18.417614,-66.043033,www.jdc.edu
870,InterCoast Colleges-West Covina,1400 W. West Covina Pkwy-2nd Floor,West Covina,CA,91790,(626) 337-6800,3,A,221,Los Angeles,US,34.068841,-117.938663,www.intercoast.edu
871,Texas School of Business-East,12030 East Freeway,Houston,TX,77029,(713) 455-8555 ext 2413,3,A,260,Harris,US,29.770908,-95.224793,east.tsb.edu/Pages/Homepage.aspx
872,Centura College-Columbia,7500 Two Notch Road,Columbia,SC,29223,(803) 754-7544,3,A,152,Richland,US,34.074693,-80.944897,www.centuracollege.edu
873,Le Cordon Bleu College of Culinary Arts-Atlanta,1927 Lakeside Parkway,Tucker,GA,30084,(770) 938-4711,3,A,1347,DeKalb,US,33.839348,-84.238519,www.chefs.edu/atlanta
874,Flagler College-Tallahassee,444 Appleyard Dr,Tallahassee,FL,32304,(850) 201-8070,2,A,519,Leon,US,30.444664,-84.341098,www.flagler.edu
875,Ohio Center for Broadcasting-Colorado,404 South Upham St.,Lakewood,CO,80226,(303) 937-7070,3,A,167,Jefferson,US,39.737325,-105.080902,beonair.com
876,Montgomery County Community College-West Campus,NOT AVAILABLE,NOT AVAILABLE,PA,NOT AVAILABLE,NOT AVAILABLE,1,C,0,Montgomery,US,40.24451,-75.655775,NOT AVAILABLE
877,Paul Mitchell the School-Rhode Island,"30 Chapel View Blvd., Suite 100",Cranston,RI,2920,(877) 672-4665,3,A,179,Providence,US,41.786096,-71.472138,school.paulmitchell.edu/cranston-ri
878,Kanawha Valley Community and Technical College,2001 Union Carbide Drive,South Charleston,WV,25303,(304) 205-6600,1,A,1762,Kanawha,US,38.382572,-81.765403,www.kvctc.edu
879,Miller-Motte Technical College-Chattanooga,6020 Shallowford Road Suite 100,Chattanooga,TN,37421,(423) 510-9675 ext 200,3,A,545,Hamilton,US,35.051299,-85.188345,www.miller-motte.edu
880,MCI Institute of Technology,3650 Shawnee Ave.,West Palm Beach,FL,33409,(561) 296-0824 ext 202,3,A,193,Palm Beach,US,26.75217,-80.079582,www.mciiot.com
881,American InterContinental University-Online,"231 N. Martingale Rd., 6th Floor",Schaumburg,IL,60173,(877) 701-3800,3,A,19592,Cook,US,42.071036,-88.21864,www.aiuniv.edu
882,Selma University,"1501 Lapsley St, Dinkins Hall",Selma,AL,36701,(334) 872-2533,2,A,551,Dallas,US,32.420358,-87.033826,selmauniversity.org
883,Milan Institute-Sparks,950 Industrial Way,Sparks,NV,89431,(775) 348-7200,3,A,379,Washoe,US,39.525226,-119.758848,www.milaninstitute.edu
884,Westwood College-Atlanta Midtown,"1100 Spring St, Ste. 102",Atlanta,GA,30309,(404) 745-9862,3,A,643,Fulton,US,33.784754,-84.38987,www.westwood.edu
885,Shelton State Community College,9500 Old Greensboro Rd,Tuscaloosa,AL,35405,(205) 391-2211,1,A,5813,Tuscaloosa,US,33.120531,-87.56148,www.sheltonstate.edu
886,Oregon Career & Technology Center,5224 Bayshore Road,Oregon,OH,43616,(419) 693-0668,1,A,27,Lucas,US,41.653618,-83.412823,www.oregoncityschools.org/home/adult-home.html
887,Empire Beauty School-Framingham,624 Worcester Rd,Framingham,MA,1702,(800) 920-4593,3,A,132,Middlesex,US,42.297796,-71.423185,www.empire.edu
888,Performance Training Institute,1012 Cox Cro Rd,Toms River,NJ,8755,(732) 505-9119 ext 12,3,A,493,Ocean,US,40.030397,-74.22342,www.ptitraining.edu
889,ITT Technical Institute-Eden Prairie,8911 Columbine Road,Eden Prairie,MN,55347,(952) 914-5300,3,A,476,Hennepin,US,44.840994,-93.442675,www.itt-tech.edu
890,Southeastern Bible College,2545 Valleydale Road,Birmingham,AL,35224,(205) 970-9200,2,A,218,Shelby,US,33.378935,-86.749045,www.sebc.edu
891,Centura Institute,6359 Edgewater Drive,Orlando,FL,32810,(407) 275-9696,3,A,130,Orange,US,28.615058,-81.423074,www.centura.edu/Orlando/default.aspx
892,Virginia College-Mobile,"3725 Airport Blvd, Suite 165",Mobile,AL,36608,(251) 378-3052,3,A,781,Mobile,US,30.670319,-88.11518,www.vc.edu
893,Troy University,University Avenue,Troy,AL,36082,(334) 670-3100,1,A,28350,Pike,US,31.800128,-85.950191,www.troy.edu
894,Westwood College-Chicago Loop,"One North State Street, Suite 1000",Chicago,IL,60602,(312) 739-0850,3,A,613,Cook,US,41.88241,-87.627362,www.westwood.edu
895,Tuskegee University,"Kresge Center, 3rd Floor",Tuskegee,AL,36088,(334) 727-8011,2,A,3925,Macon,US,32.431021,-85.710315,www.tuskegee.edu
896,Precision Manufacturing Institute,"764 Bessemer Street, Suite 105",Meadville,PA,16335,(814) 333-2415,2,A,44,Crawford,US,41.641273,-80.157311,www.pmionline.edu
897,Le Cordon Bleu College of Culinary Arts-Las Vegas,1451 Center Crossing Road,Las Vegas,NV,89144,(702) 365-7690,3,A,784,Clark,US,36.188062,-115.312552,www.chefs.edu/las-vegas
898,Professional Massage Training Center,229 East Commercial Street,Springfield,MO,65803,(417) 863-7682,3,A,109,Greene,US,37.229872,-93.291313,www.pmtc.edu
899,International Academy of Design and Technology-Troy,1850 Research Drive,Troy,MI,48083,(248) 457-2700,3,A,656,Oakland,US,42.55061,-83.118548,www.iadtdetroit.com
900,University of Alaska Fairbanks,505 South Chandalar Drive,Fairbanks,AK,99775,(907) 474-7211,1,A,13373,Fairbanks North Star,US,64.855573,-147.825921,www.uaf.edu
901,Interactive Learning Systems-North Houston,4473 North Freeway,Houston,TX,77022,(281) 931-7717,3,A,37,Harris,US,29.940338,-95.404684,www.ict-ils.edu
902,Bexley Hall Episcopal Seminary,583 Sheridan Avenue,Columbus,OH,43209,(614) 231-3095,2,A,21,Franklin,US,39.956227,-82.940635,www.bexley.edu
903,Regency School of Hair Design,567 North Lake Dr.,Prestonsburg,KY,41653,(606) 886-6457,3,A,37,Floyd,US,37.673664,-82.777386,NOT AVAILABLE
904,American InterContinental University-Houston,9999 Richmond Avenue,Houston,TX,77042,(832) 201-3600,3,A,689,Harris,US,29.728221,-95.548309,www.houston.aiuniv.edu
905,Everest College Phoenix,"10400 N. 25th Avenue, Suite 190",Phoenix,AZ,85021,(602) 942-4141,3,A,1644,Maricopa,US,33.580985,-112.113845,www.everestcollegephoenix.edu
906,Renaissance School of Therapeutic Massage,566 West 1350 South,Bountiful,UT,84010,(801) 292-8515,3,A,32,Davis,US,40.877255,-111.89402,www.renaissancemassageschool.com
907,University of North Texas System,1901 Main Street,Dallas,TX,75201,(214) 752-8585,1,A,558,Denton,US,33.207657,-97.154233,untsystem.unt.edu/
908,Sanford-Brown College-Houston North Loop,"2627 North Loop West, Suite 100",Houston,TX,77008,(832) 325-4500,3,A,310,Harris,US,29.806683,-95.443892,www.sanfordbrown.edu/northloop
909,Anthem College-Fenton,645 Gravois Bluffs Blvd,Fenton,MO,63026,(954) 535-8678,3,A,237,St. Louis,US,38.508985,-90.435869,www.anthem.edu
910,SAE Institute of Technology-Nashville,7 Music Circle N,Nashville,TN,37203,(615) 244-5848,3,A,124,Davidson,US,36.15039,-86.790448,www.nashville.sae.edu
911,Collins College,4750 S 44th Place,Phoenix,AZ,85040,(480) 966-3000,3,A,767,Maricopa,US,33.403952,-111.986225,www.collinscollege.edu
912,University of California-Merced,5200 North Lake Road,Merced,CA,95343,(209) 228-4400,1,A,6939,Merced,US,37.366237,-120.424944,www.ucmerced.edu
913,Empire Beauty School-Paradise Valley,12827 N Tatum Blvd,Phoenix,AZ,85032,(800) 920-4593,3,A,97,Maricopa,US,33.602593,-111.976357,www.empire.edu
914,Eclipse School of Cosmetology and Barbering,52 s. plaza way,Cape Girardeau,MO,63701,(573) 651-0333,3,A,115,Cape Girardeau,US,37.305615,-89.547135,eclips.edu
915,Everest Institute-Norcross,1750 Beaver Ruin Rd-Ste 500,Norcross,GA,30093,(770) 921-1085,3,A,560,Gwinnett,US,33.934121,-84.155475,www.everest.edu/campus/norcross
916,Kaplan College-Brownsville,1900 North Expressway,Brownsville,TX,78521,(956) 547-8200,3,A,519,Cameron,US,25.943132,-97.502253,brownsville.kaplancollege.com/Pages/HomePage.aspx
917,Shear Academy,780 West Ave,Crossville,TN,38555,(931) 456-5391,3,A,24,Cumberland,US,35.952916,-85.03524,shearacademy.com
918,Everest College-Fort Worth,5237 N Riverside Dr Ste 100,Fort Worth,TX,76137,(817) 838-3000,3,A,610,Tarrant,US,32.838197,-97.30126,www.everest.edu/campus/ft_worth
919,Empire Beauty School-Tucson,3030 E Speedway Blvd,Tucson,AZ,85716,(800) 920-4593,3,A,202,Pima,US,32.235657,-110.927187,www.empire.edu
920,Remington College-North Houston Campus,"11310 Greens Crossing Blvd, Ste 300",Houston,TX,77067,(281) 885-4450,2,A,610,Harris,US,29.946669,-95.424917,www.remingtoncollege.edu/north-houston-texas-colleges
921,Thunderbird School of Global Management,1 Global Place,Glendale,AZ,85306,(602) 978-7000,2,A,1422,Maricopa,US,33.620887,-112.180861,www.thunderbird.edu
922,Kaplan College-Corpus Christi,1620 S. Padre Island Drive,Corpus Christi,TX,78416,(361) 852-2900,3,A,558,Nueces,US,27.743307,-97.439616,corpus-christi.kaplancollege.com/Pages/HomePage.aspx
923,Southern Technical College,2910 S. Orlando Drive,Sanford,FL,32773,(407) 323-4141,3,A,1350,Orange,US,28.44861,-81.399729,www.southerntech.edu
924,Stanbridge College,2041 Business Ctr Dr Ste 107,Irvine,CA,92612,(949) 794-9090 ext 5104,3,A,899,Orange,US,33.678879,-117.857636,www.stanbridge.edu
925,Paul Mitchell the School-Orlando,"1271 Semoran Blvd., Suite 131",Casselberry,FL,32707,(866) 368-7447,3,A,271,Seminole,US,28.63303,-81.321635,school.paulmitchell.edu/orlando-fl
926,American Institute of Technology,440 S 54th Avenue,Phoenix,AZ,85043,(602) 233-2222,3,A,726,Maricopa,US,33.442688,-112.17553,www.ait-schools.com
927,American Professional Institute,3076 Riverside Dr. Suite 700,Macon,GA,31210,(478) 314-4444,3,A,589,Bibb,US,32.855341,-83.645237,www.api.edu
928,Styletrends Barber and Hairstyling Academy,239 Hampton St,Rock Hill,SC,29730,(803) 328-0807 ext 102,3,A,70,York,US,34.923083,-81.028029,www.styletrendsacademy.com
929,Regency Beauty Institute-Maplewood,3000 White Bear Avenue North,Maplewood,MN,55109,(800) 787-6456,3,A,60,Ramsey,US,45.032098,-93.016493,www.regencybeauty.com
930,College America-Flagstaff,3012 East Route 66,Flagstaff,AZ,86004,(928) 213-6060 ext 1400,3,A,314,Coconino,US,35.211152,-111.604793,www.collegeamerica.edu
931,Everest College-Arlington,300 Six Flags Drive,Arlington,TX,76011,(817) 652-7790,3,A,723,Tarrant,US,32.743991,-97.057586,www.everest.edu/campus/arlington_mid_cities_
932,Arizona Academy of Beauty-East,5631 E Speedway Blvd,Tucson,AZ,85712,(520) 885-4120,3,A,60,Pima,US,32.237253,-110.872305,www.arizonaacademy.com
933,Pima Medical Institute-Las Vegas,3333 East Flamingo Road,Las Vegas,NV,89121,(702) 458-9650,3,A,1178,Clark,US,36.114105,-115.102238,pmi.edu
934,Universal Career School,10720 W Flagler School Ste 21,Sweetwater,FL,33174,(305) 485-7700,3,A,74,Miami-Dade,US,25.767485,-80.370195,www.universalbeautyschool.com
935,University of Phoenix-Columbus Georgia Campus,7200 N. Lake Drive,Columbus,GA,31909,(706) 320-1266,3,A,1049,Muscogee,US,32.509858,-84.97078,www.phoenix.edu
936,University of Phoenix-Columbus Ohio Campus,8415 Pulsar Pl,Columbus,OH,43240,(614) 433-0095,3,A,240,Delaware,US,40.139854,-82.966393,www.phoenix.edu
937,Remington College-Nashville Campus,441 Donelson Pk Ste 150,Nashville,TN,37214,(615) 889-5520,2,A,422,Davidson,US,36.152337,-86.665629,www.remingtoncollege.edu/nashville-tennessee-career-colleges-overview
938,Universal College of Healing Arts,8702 North 30th Street,Omaha,NE,68112,(402) 556-4456,3,A,64,Douglas,US,41.339162,-95.961539,www.ucha.com
939,Arizona Automotive Institute,6829 N 46th Ave,Glendale,AZ,85301,(623) 934-7273,3,A,757,Maricopa,US,33.537249,-112.157344,www.aai.edu
940,University of Phoenix-Little Rock Campus,10800 Financial Centre Pkwy,Little Rock,AR,72211,(501) 225-9337,3,A,861,Pulaski,US,34.749167,-92.395199,www.phoenix.edu
941,Brookline College-Phoenix,"2445 W. Dunlap Ave., Ste. 100",Phoenix,AZ,85021,(602) 242-6265,3,A,1302,Maricopa,US,33.566102,-112.112473,www.brooklinecollege.edu
942,Uta Mesivta of Kiryas Joel,48 Bakertown Rd Suite 501,Monroe,NY,10950,(845) 783-9901 ext 106,2,A,1570,Orange,US,41.350772,-74.172731,NOT AVAILABLE
943,Platt College-North OKC,2727 W. Memorial Rd,Oklahoma City,OK,73134,(405) 749-2433,3,A,243,Oklahoma,US,35.611128,-97.563751,www.plattcolleges.edu
944,Toni & Guy Hairdressing Academy-Boise,5244 W. Overland Road,Boise,ID,83705,(208) 429-8070,3,A,119,Ada,US,43.59105,-116.247663,toniguy.com/academy/boise/default.aspx
945,Westwood College-Northlake,2309 Parklake Drive NE,Atlanta,GA,30345,(404) 962-2999,3,A,539,DeKalb,US,33.853351,-84.248126,www.westwood.edu
946,Arizona State University,University Drive and Mill Avenue,Tempe,AZ,85287,(480) 965-2100,1,A,82285,Maricopa,US,33.41728,-111.935499,www.asu.edu/
947,W L Bonner College,4430 Argent Ct,Columbia,SC,29203,(803) 754-3950,2,A,79,Richland,US,34.040836,-81.031955,www.wlbc.edu
948,Charlie's Guard-Detective Bureau and Academy Inc,Road 107 Km 3.1 Bo. Borinquen,Aguadilla,PR,603,(787) 882-7222,3,A,53,Aguadilla,PR,18.442309,-67.122768,www.charliesacademy.edu
949,Harrisburg University of Science and Technology,326 Market Street,Harrisburg,PA,17101,(717) 901-5152,2,A,390,Dauphin,US,40.261303,-76.8808,www.HarrisburgU.edu
950,Arizona Western College,2020 S. Avenue 8E,Yuma,AZ,85365,(928) 317-6000,1,A,9033,Yuma,US,32.689306,-114.495968,www.azwestern.edu
951,University of Phoenix-Jersey City Campus,100 Town Square Pl,Jersey City,NJ,7310,(201) 610-1408,3,A,525,Hudson,US,40.726763,-74.033131,www.phoenix.edu
952,University of Phoenix-Minneapolis/St Paul Campus,435 Ford Rd,Saint Louis Park,MN,55426,(952) 487-7226,3,A,322,Hennepin,US,44.975164,-93.404827,www.phoenix.edu
953,PCI Academy,4411 Winnetka Ave N,New Hope,MN,55428,(763) 536-0772 ext 13,3,A,66,Hennepin,US,45.035432,-93.382278,www.PCI-Academy.com
954,University of Arizona,1401 E University,Tucson,AZ,85721,(520) 621-2211,1,A,52537,Pima,US,32.232866,-110.950086,www.arizona.edu
955,The Art Institute of Ohio-Cincinnati,"8845 Governor's Hill Dr., Suite 100",Cincinnati,OH,45249,(513) 833-2400,3,A,864,Hamilton,US,39.288802,-84.317882,www.artinstitutes.edu/cincinnati
956,Southwest University of Visual Arts-Tucson,2525 N Country Club Rd,Tucson,AZ,85716,(520) 325-0123,3,A,267,Pima,US,32.252384,-110.927321,www.suva.edu
957,DeVry University-Nevada,"2490 Paseo Verde Parkway, Ste 150",Henderson,NV,89074,(702) 933-9700,3,A,437,Clark,US,36.019944,-115.096092,www.devry.edu
958,Kaplan College-Fort Worth,"2001 Beach Street, Suite 201",Fort Worth,TX,76103,(817) 413-2000,3,A,304,Tarrant,US,32.748285,-97.288869,fort-worth.kaplancollege.com/Pages/Homepage.aspx
959,Stevens-Henager College-Logan,755 S Main St,Logan,UT,84321,(435) 792-6970 ext 5001,3,A,225,Cache,US,41.718039,-111.835961,www.stevenshenager.edu/
960,Brillare Hairdressing Academy,"15147 N. Scottsdale Road, Suite H300",Scottsdale,AZ,85254,(480) 994-4222,3,A,197,Maricopa,US,33.501828,-111.924855,www.brillare.com/
961,Everest College-Chicago,247 South State Street #400,Chicago,IL,60604,(312) 913-1616,3,D,0,Cook,US,41.878462,-87.627328,www.everest.edu/campus/chicago
962,Kaplan College-Midland,"4320 W. Illinois, Ste. A",Midland,TX,79703,(432) 681-3390,3,A,211,Midland,US,31.988977,-102.131917,midland.kaplancollege.com/Pages/Homepage.aspx
963,Brown Mackie College-Tucson,4585 E Speedway Blvd.,Tucson,AZ,85712,(520) 327-6866,3,A,757,Pima,US,32.236736,-110.895086,www.brownmackie.edu
964,University of Phoenix-Cheyenne Campus,6900 Yellowstone Rd,Cheyenne,WY,82009,(307) 633-9900,3,A,61,Laramie,US,41.180363,-104.82816,www.phoenix.edu
965,Everest College-Tacoma,2156 Pacific Avenue,Tacoma,WA,98402,(253) 207-4000,3,A,1092,Pierce,US,47.241199,-122.436157,www.everest.edu/campus/tacoma
966,University of Phoenix-Springfield  Campus,1343 E Kingsley St,Springfield,MO,65804,(417) 887-5795,3,A,200,Greene,US,37.141218,-93.273576,www.phoenix.edu
967,DeVry University-Oregon,"9755 SW Barnes Road, Ste. 150",Portland,OR,97225,(503) 296-7468,3,A,245,Washington,US,45.511822,-122.778022,www.devry.edu
968,Kaplan College-Lubbock,1421 9th Street,Lubbock,TX,79401,(806) 765-7051,3,A,359,Lubbock,US,33.586941,-101.850884,lubbock.kaplancollege.com/Pages/Kaplan_Commitment.aspx
969,Charles of Italy Beauty College,"1987 McCulloch Blvd, Suite 205",Lake Havasu City,AZ,86403,(928) 453-6666,3,A,93,Mohave,US,34.477502,-114.332674,www.charlesofitaly.edu
970,University of Phoenix-Des Moines Campus,6600 Westown Pkwy,West Des Moines,IA,50266,(515) 267-8218,3,A,78,Dallas,US,41.593027,-93.798625,www.phoenix.edu
971,Carrington College California-Emeryville,"6001 Shellmound St., Ste. 145",Emeryville,CA,94608,(510) 420-5400,3,A,224,Alameda,US,37.841369,-122.293647,www.carrington.edu
972,Empire Beauty School-Flagstaff,1790 E Rte 66,Flagstaff,AZ,86004,(800) 920-4593,3,A,58,Coconino,US,35.197151,-111.625936,www.empire.edu
973,National University College-Rio Grande,Carr. #3 Km 22.01 - Barrio Cienaga Baja,Rio Grande,PR,745,(787) 888-8286,3,A,1729,RÃÂ­o Grande,PR,18.38022,-65.852655,www.nuc.edu
974,Creative Images Institute of Cosmetology-South Dayton,568 Miamisburg-Centrville Rd,Dayton,OH,45459,(937) 433-1944,3,A,122,Montgomery,US,39.627019,-84.174179,www.creativeimages.edu
975,University of Phoenix-San Antonio Campus,8200 IH-10 West,San Antonio,TX,78230,(210) 524-2100,3,A,1190,Bexar,US,29.515688,-98.555395,www.phoenix.edu
976,North-West College-Riverside,4550 La Sierra Ave,Riverside,CA,92503,(951) 351-7750,3,A,360,Riverside,US,33.908275,-117.450704,www.north-westcollege.edu
977,Empire Beauty School-Chandler,2978 N Alma School Rd #1-3,Chandler,AZ,85224,(800) 920-4593,3,A,205,Maricopa,US,33.347586,-111.860423,www.empire.edu
978,Westwood College-Houston South,7322 Southwest Fwy Suite 110,Houston,TX,77074,(713) 777-4433,3,A,65,Harris,US,29.702418,-95.516925,www.westwood.edu
979,Everest Institute-Chelsea,70 Everett Ave - 4th Floor,Chelsea,MA,2150,(617) 889-5999,3,A,400,Suffolk,US,42.39344,-71.039657,www.everest.edu/campus/chelsea
980,University of Phoenix-Austin Campus,10801 N Mo-Pac,Austin,TX,78759,(512) 344-1400,3,A,723,Travis,US,30.397456,-97.729745,www.phoenix.edu
981,Cortiva Institute-Tucson,"6390 E. Broadway, Suite 100",Tucson,AZ,85710,(520) 407-5160,3,A,203,Pima,US,32.21901,-110.856785,www.cortiva.com/
982,Fortis Institute-Jacksonville,5995-2 University Blvd West,Jacksonville,FL,32216,(904) 443-6300,3,A,460,Duval,US,30.277639,-81.604182,fortis.edu
983,University of Phoenix-Richmond Campus,6600 W Broad St,Richmond,VA,23230,(804) 288-3390,3,A,782,Henrico,US,37.601274,-77.513535,www.phoenix.edu
984,DeVry University-Arizona,2149 W Dunlap Ave,Phoenix,AZ,85021,(602) 870-9222,3,A,2077,Maricopa,US,33.566087,-112.104445,www.devry.edu
985,Everest Institute-Eagan,"1000 Blue Gentian Road, Suite 250",Eagan,MN,55121,(651) 688-2145,3,A,429,Dakota,US,44.858767,-93.13969,www.everest.edu/campus/eagan
986,Glendale Community College,6000 W Olive Ave,Glendale,AZ,85302,(623) 845-3000,1,A,22750,Maricopa,US,33.571076,-112.189381,www.gc.maricopa.edu
987,University of Phoenix-Louisville Campus,10400 Linn Station Rd,Louisville,KY,40223,(502) 423-0149,3,A,281,Jefferson,US,38.223943,-85.563612,www.phoenix.edu/
988,University of Phoenix-Raleigh Campus,5511 Capital Center Dr,Raleigh,NC,27606,(919) 854-2121,3,A,513,Wake,US,35.767691,-78.727535,www.phoenix.edu
989,Brookline College-Albuquerque,4201 Central Ave NW-Ste J,Albuquerque,NM,87105,(505) 880-2877,3,A,542,Bernalillo,US,35.086652,-106.687499,www.brooklinecollege.edu
990,Blue Ridge Community and Technical College,13650 Apple Harvest Drive,Martinsburg,WV,25403,(304) 260-4380,1,A,4660,Berkeley,US,39.453921,-77.9683,www.blueridgectc.edu/
991,Byzantine Catholic Seminary of Saints Cyril and Methodius,3605 Perrysville Ave,Pittsburgh,PA,15214,(412) 321-7550,2,A,29,Allegheny,US,40.484409,-80.015825,www.bcs.edu
992,Lamson College,875 W. Elliot Road Suite 206,Tempe,AZ,85284,(480) 898-7000,3,M,18,Maricopa,US,33.348036,-111.952954,www.lamsoncollege.edu
993,DeVry University-Minnesota,"7700 France Ave. S., Ste. 575",Edina,MN,55435,(952) 838-1860,3,A,522,Hennepin,US,44.977641,-93.401391,www.devry.edu
994,Cuttin' Up Beauty Academy,8101 E Colfax Ave,Denver,CO,80220,(303) 388-5700,3,A,0,Denver,US,39.740425,-104.893803,www.cubacuttinup.com
995,Kaplan Career Institute-Detroit,3031 W. Grand Blvd.-Ste 236,Detroit,MI,48202,(313) 456-8100,3,A,292,Wayne,US,42.370012,-83.076494,detroit.kaplancareerinstitute.com/Pages/Homepage.aspx
996,Kaplan University-Council Bluffs Campus,"1751 Madison Avenue, Suite 750",Council Bluffs,IA,51503,(712) 328-4212,3,A,244,Pottawattamie,US,41.244415,-95.825931,councilbluffs.kaplanuniversity.edu/Pages/Homepage.aspx
997,Lincoln Technical Institute-Suffield,1760 Mapleton Ave,Suffield,CT,6078,(860) 668-3500,3,A,155,Hartford,US,42.025931,-72.61402,www.lincolnedu.com
998,Remington College-Cleveland West Campus,26350 Brookpark Road,North Olmsted,OH,44070,(440) 777-2560,2,A,308,Cuyahoga,US,41.418295,-81.913718,www.remingtoncollege.edu/cleveland-west-ohio-career-colleges
999,Kaplan College-Phoenix,"13610 N Black Canyon Hwy,  Ste 104",Phoenix,AZ,85029,(602) 548-1955,3,A,490,Maricopa,US,33.608202,-112.118921,phoenix.kaplancollege.com/Pages/Homepage.aspx
1000,Aviator College of Aeronautical Science and Technology,3800 St Lucie Blvd,Fort Pierce,FL,34946,(772) 466-4822,3,A,197,St. Lucie,US,27.484379,-80.354456,www.aviator.edu
1001,ITT Technical Institute-Tempe,5005 S. Wendler Drive,Tempe,AZ,85282,(602) 437-7500,3,A,744,Maricopa,US,33.380355,-111.969169,www.itt-tech.edu
1002,Everest University-Orange Park,805 Wells Rd,Orange Park,FL,32073,(904) 264-9122,3,A,785,Clay,US,30.188862,-81.706,www.everest.edu/campus/orange_park
1003,International Academy of Design and Technology-Henderson,2495 Village View Drive,Henderson,NV,89074,(702) 990-0150,3,A,658,Clark,US,36.022328,-115.096605,www.iadtvegas.com
1004,Daymar College-Madisonville,1105 National Mine Drive,Madisonville,KY,42431,(270) 643-0312,3,A,62,McCracken,US,37.067601,-88.632429,www.daymarcollege.edu
1005,Northcentral University,10000 E. University Dr,Prescott Valley,AZ,86314,(888) 327-2877,3,A,10207,Yavapai,US,34.598901,-112.286177,www.ncu.edu
1006,Universal Technical Institute-Motorcycle Mechanics Institute Division,2844 W Deer Valley Rd,Phoenix,AZ,85027,(623) 869-9644,3,A,2609,Maricopa,US,33.684814,-112.123341,www.uti.edu/
1007,Everest Institute-Bissonnet,9700 Bissonnet St-Ste 1400,Houston,TX,77036,(713) 772-4200 ext 121,3,A,983,Harris,US,29.677344,-95.545008,www.everest.edu/campus/houston_bissonnet
1008,International Academy of Design and Technology-Seattle,645 Andover Park West,Tukwila,WA,98188,(206) 575-1865,3,A,437,King,US,47.450291,-122.255062,www.iadt.edu/seattle
1009,Brittany Beauty School,210 East 188th St,Bronx,NY,10458,(718) 220-0400,3,A,245,Bronx,US,40.860986,-73.897254,www.BrittanyBeautySchool.com
1010,Total International Career Institute,3060 W 12th Ave,Hialeah,FL,33012,(305) 681-6622,3,A,320,Miami-Dade,US,25.849135,-80.306786,www.ticifl.edu
1011,Baker College of Allen Park,4500 Enterprise Dr,Allen Park,MI,48101,(313) 425-3700,2,A,4291,Wayne,US,42.274542,-83.203166,www.baker.edu
1012,Dine College,"Route 12, One Circle Drive",Tsaile,AZ,86556,(928) 724-6600,1,A,2232,Apache,US,36.291756,-109.216614,www.dinecollege.edu
1013,Everest College-McLean,8620 Westwood Center Dr.,Vienna,VA,22182,(703) 288-3131,3,A,400,Fairfax,US,38.932345,-77.234303,www.everest.edu/campus/tysons_corner
1014,International Academy of Design and Technology-Nashville,One Bridgestone Park,Nashville,TN,37214,(615) 232-7384 ext 4676,3,A,429,Davidson,US,36.167168,-86.690428,www.iadtnashville.com
1015,Trendsetters School of Beauty & Barbering,1033 Edgewood Ave South,Jacksonville,FL,32205,(904) 388-4606,3,A,37,Duval,US,30.305356,-81.748532,www.trendsettersbeauty.com
1016,Lincoln Technical Institute-Whitestone,15-30 Petracca Pl,Whitestone,NY,11357,(718) 640-9800,3,A,945,Queens,US,40.784113,-73.82885,www.lincolntech.com
1017,Northern Arizona University,"Knoles Drive, Babbitt Administrative Center",Flagstaff,AZ,86011,(928) 523-9011,1,A,29454,Coconino,US,35.188875,-111.655559,nau.edu/
1018,Colegio Tecnico de Electricidad Galloza,Carr 4416 Km 2.5 Int. Bo Laguna,Aguada,PR,602,(787) 252-0922,3,A,72,Aguada,PR,18.350821,-67.160809,www.ctegpr.com/CTEG_Web/
1019,Le Cordon Bleu College of Culinary Arts-Miami,3221 Enterprise Way,Miramar,FL,33025,(954) 438-8882,3,A,1238,Broward,US,25.978457,-80.288087,www.chefs.edu/miami
